run,window,k_mult,label_period,ml_threshold,win_rate,sharpe,max_drawdown,profit_factor,trade_count,pass,wr_pass,sharpe_pass,dd_pass,pf_pass,timestamp
1,bear,1.0,12,0.6,61.8,-1.083,2.55,0.961,1877,False,True,False,True,False,2026-05-11T09:43:41.190892
2,bear,1.0,12,0.65,61.58,-1.185,2.57,0.954,1697,False,True,False,True,False,2026-05-11T09:43:41.216130
3,bear,1.0,24,0.6,62.54,-0.858,2.02,0.97,1874,False,True,False,True,False,2026-05-11T09:43:41.243508
4,bear,1.0,24,0.65,62.34,-0.615,1.91,0.976,1702,False,True,False,True,False,2026-05-11T09:43:41.268930
5,bear,1.5,12,0.6,62.3,-1.444,1.91,0.95,1907,False,True,False,True,False,2026-05-11T09:43:41.297334
6,bear,1.5,12,0.65,62.89,-0.607,1.69,0.977,1773,False,True,False,True,False,2026-05-11T09:43:41.323692
7,bear,1.5,24,0.6,63.33,-2.468,2.79,0.912,1830,False,True,False,True,False,2026-05-11T09:43:41.351072
8,bear,1.5,24,0.65,64.09,-1.813,2.35,0.931,1718,False,True,False,True,False,2026-05-11T09:43:41.377087
9,bear,2.0,12,0.6,61.45,-3.633,3.78,0.879,1930,False,True,False,True,False,2026-05-11T09:43:41.406103
10,bear,2.0,12,0.65,61.49,-3.241,3.53,0.886,1815,False,True,False,True,False,2026-05-11T09:43:41.433583
11,bear,2.0,24,0.6,61.82,-4.879,4.6,0.832,1823,False,True,False,True,False,2026-05-11T09:43:41.461111
12,bear,2.0,24,0.65,62.54,-3.341,3.21,0.877,1730,False,True,False,True,False,2026-05-11T09:43:41.487505
13,bull,1.0,12,0.6,62.49,-0.122,1.69,0.996,1690,False,True,False,True,False,2026-05-11T09:43:40.891245
14,bull,1.0,12,0.65,62.45,-0.512,1.57,0.981,1518,False,True,False,True,False,2026-05-11T09:43:40.913930
15,bull,1.0,24,0.6,61.5,-1.779,2.57,0.941,1639,False,True,False,True,False,2026-05-11T09:43:40.957199
16,bull,1.0,24,0.65,61.7,-1.448,2.04,0.948,1509,False,True,False,True,False,2026-05-11T09:43:40.979252
17,bull,1.5,12,0.6,62.68,-3.599,3.48,0.886,1664,False,True,False,True,False,2026-05-11T09:43:41.003262
18,bull,1.5,12,0.65,63.69,-1.992,2.57,0.932,1570,False,True,False,True,False,2026-05-11T09:43:41.026225
19,bull,1.5,24,0.6,63.3,-2.446,2.66,0.917,1575,False,True,False,True,False,2026-05-11T09:43:41.049287
20,bull,1.5,24,0.65,62.28,-3.186,2.73,0.885,1453,False,True,False,True,False,2026-05-11T09:43:41.070650
21,bull,2.0,12,0.6,61.33,-2.452,2.31,0.922,1694,False,True,False,True,False,2026-05-11T09:43:41.095235
22,bull,2.0,12,0.65,61.07,-2.547,2.38,0.914,1585,False,True,False,True,False,2026-05-11T09:43:41.118471
23,bull,2.0,24,0.6,62.52,-2.429,2.42,0.918,1569,False,True,False,True,False,2026-05-11T09:43:41.141362
24,bull,2.0,24,0.65,62.37,-2.68,2.49,0.905,1488,False,True,False,True,False,2026-05-11T09:43:41.163270
