run,window,k_tp,k_sl,ml_threshold,win_rate,sharpe,max_drawdown,profit_factor,trade_count,pass,wr_pass,sharpe_pass,dd_pass,pf_pass,theoretical_pf,timestamp
1,bull,1.5,0.8,0.6,14.86,-40.371,9.67,0.329,1635,False,False,False,True,False,3.06,2026-05-15T10:44:13.140447
2,bull,1.5,0.8,0.65,14.69,-33.232,8.04,0.334,1368,False,False,False,True,False,3.06,2026-05-15T10:47:14.068429
3,bull,1.5,0.8,0.7,15.2,-24.454,6.03,0.362,1099,False,False,False,True,False,3.06,2026-05-15T10:50:10.668188
4,bull,1.5,1.0,0.6,20.85,-40.243,12.47,0.398,1933,False,False,False,True,False,2.45,2026-05-15T10:53:16.491471
5,bull,1.5,1.0,0.65,20.34,-34.899,10.48,0.384,1593,False,False,False,True,False,2.45,2026-05-15T10:56:18.867605
6,bull,1.5,1.0,0.7,21.09,-25.82,7.83,0.405,1252,False,False,False,True,False,2.45,2026-05-15T10:59:17.137680
7,bull,2.0,0.8,0.6,15.85,-18.225,4.95,0.466,1104,False,False,False,True,False,4.08,2026-05-15T11:02:20.781015
8,bull,2.0,0.8,0.65,16.07,-16.013,4.31,0.469,977,False,False,False,True,False,4.08,2026-05-15T11:05:16.773317
9,bull,2.0,0.8,0.7,15.7,-14.495,3.82,0.453,841,False,False,False,True,False,4.08,2026-05-15T11:08:09.479742
10,bull,2.0,1.0,0.6,21.4,-21.143,7.28,0.494,1355,False,False,False,True,False,3.26,2026-05-15T11:11:06.545785
11,bull,2.0,1.0,0.65,20.75,-18.027,6.2,0.491,1142,False,False,False,True,False,3.26,2026-05-15T11:13:57.341816
12,bull,2.0,1.0,0.7,20.19,-15.829,5.35,0.478,961,False,False,False,True,False,3.26,2026-05-15T11:16:50.903258
13,bull,2.5,0.8,0.6,14.84,-13.923,4.09,0.476,923,False,False,False,True,False,5.1,2026-05-15T11:19:41.212895
14,bull,2.5,0.8,0.65,14.58,-12.422,3.66,0.479,830,False,False,False,True,False,5.1,2026-05-15T11:22:29.519986
15,bull,2.5,0.8,0.7,14.4,-10.773,3.25,0.494,757,False,False,False,True,False,5.1,2026-05-15T11:25:20.422568
16,bull,2.5,1.0,0.6,21.97,-9.793,3.74,0.621,983,False,False,False,True,False,4.08,2026-05-15T11:28:04.886953
17,bull,2.5,1.0,0.65,21.53,-8.939,3.46,0.612,873,False,False,False,True,False,4.08,2026-05-15T11:30:55.769644
18,bull,2.5,1.0,0.7,21.86,-7.306,2.98,0.633,773,False,False,False,True,False,4.08,2026-05-15T11:33:43.405472
