feature,n_pairs,mean_norm_imp,median_norm_imp,max_norm_imp
%-funding_rate,37,0.028817038445777363,0.011523687184688903,0.15586802855122256
%-funding_rate_chg,37,0.01822653993672036,0.013019505886645149,0.06285726991607453
%-funding_rate_z30d,37,0.013384561982745272,0.006472887200201334,0.09513910273251253
%-ema-period_20_{BTC_INF}_4h,37,0.010205202415702296,0.0013852958798631094,0.12048190226129935
%-raw_close,37,0.00926588357167516,0.0060971694912309886,0.0389874479273165
%-btc_strength,37,0.009126498787979201,0.006203782070516502,0.06150357202233414
%-ema-period_50_{TF_4h},36,0.008564905189397688,0.0031506060711727,0.1123620638742936
%-macd_signal_gen_shift-2_{BTC_INF}_4h,37,0.008487835371474546,0.004878950982200638,0.08335811723357821
%-sma-period_20_{TF_4h},36,0.00794506478315865,0.001497150724746633,0.13463343638209824
%-sma-period_50_{TF_4h},36,0.00774216601090954,0.0016664406418760503,0.09427088818166932
%-adx-period_50_{TF_4h},36,0.007246941689078311,0.0046795311128702555,0.02886404393344427
%-sma-period_20_shift-2_{BTC_INF}_4h,37,0.006827748676546041,0.0019589412430257047,0.04136094819141926
%-atr_gen_shift-2_{BTC_INF}_1h,37,0.006429085081841637,0.0018844602777810424,0.0898638799087907
%-rsi-period_50_{TF_1h},36,0.006414823546280238,0.002036187762748061,0.06132625376866821
%-adx-period_10_{BTC_INF}_4h,37,0.0063784887230182545,0.004741442496204169,0.024292415233686623
%-adx-period_50_{BTC_INF}_1h,37,0.006288213481718021,0.004296726460085971,0.02368231779407588
%-bb_width-period_50_{TF_4h},36,0.006228836990526986,0.004479493631242921,0.049061605589451725
%-sma-period_10_shift-1_{BTC_INF}_4h,37,0.006161705413984317,0.00043930016239034173,0.19498293823951401
%-adx-period_20_{BTC_INF}_4h,37,0.006134391613379991,0.004142677678302897,0.04740005700101289
%-atr_gen_shift-1_{BTC_INF}_1h,37,0.005919556743731197,0.0015167659314025707,0.1412837936136722
%-bb_pct-period_50_shift-2_{TF_4h},36,0.005562142188340555,0.0016147222614787547,0.08560341919058927
%-sma-period_20_shift-1_{BTC_INF}_4h,37,0.005455473673166221,0.0009815489877872316,0.11073171342305346
%-atr_gen_shift-1_{BTC_INF}_4h,37,0.00545389146420733,0.0012986414002121363,0.1283769925577861
%-atr_gen_{BTC_INF}_1h,37,0.0053581252507020755,0.003334765941407944,0.03265258263808799
%-adx-period_10_shift-2_{BTC_INF}_4h,37,0.005354560853287656,0.0024633339094184033,0.051379951985458604
%-bb_width-period_10_{TF_4h},36,0.005289271053471818,0.0038921599177771573,0.02187867483415274
%-bb_width-period_20_shift-2_{BTC_INF}_4h,37,0.005088755546539771,0.004540118706352963,0.013634762846721738
%-rsi-period_50_{TF_15m},36,0.0050674964427319,0.005018298400613238,0.01530830715030318
%-roc-period_20_{TF_4h},36,0.005057113929399863,0.0028391911996493613,0.024205538641203093
%-adx-period_10_{TF_4h},36,0.00504318114834729,0.0032098466121370526,0.03415528047411328
%-bb_width-period_10_{BTC_INF}_4h,37,0.004953600653481259,0.004131273907425415,0.018674354260157542
%-ema-period_10_{TF_4h},36,0.0049430878153359815,0.0007657470756560008,0.04247572100571418
%-roc-period_20_{TF_1h},36,0.004925494309907206,0.0029381060115040037,0.02114225211352432
%-adx-period_10_{BTC_INF}_1h,37,0.004919687724966686,0.0034540369637576546,0.018624779071687216
%-bb_pct-period_20_shift-2_{BTC_INF}_4h,37,0.004837042157188682,0.0022439164350380124,0.029034302563960983
%-adx-period_50_{BTC_INF}_15m,37,0.004769833040060738,0.002914646703531583,0.020874351242655548
%-rsi-period_10_shift-1_{BTC_INF}_4h,37,0.004707293842406421,0.002387804691601924,0.03459206224216007
%-price_position_gen_{TF_4h},36,0.004639970635014911,0.0025884842383852406,0.03708817483600465
%-adx-period_20_{TF_1h},36,0.004594524623153049,0.0036536583765884277,0.02105694989206122
%-atr_gen_{BTC_INF}_15m,37,0.004575403108381629,0.0033311623829965524,0.01237773137538097
%-adx-period_50_{TF_1h},36,0.004511911075985174,0.0035730817146070043,0.015241341066298332
%-bb_width-period_50_{BTC_INF}_4h,37,0.004473033497323304,0.002740544182435189,0.04816059292789301
%-btc_oi_z30d,37,0.004452878486898797,0.0037265997981072523,0.013377568739123113
%-bb_width-period_20_{BTC_INF}_1h,37,0.004378815974729581,0.002535685209027905,0.029739461055665894
%-adx-period_50_{TF_15m},36,0.0043774992237009085,0.003216760947660309,0.014641465277853167
%-bb_width-period_20_{TF_4h},36,0.004356142732962923,0.003062791091386815,0.024723864273461904
%-adx-period_20_shift-2_{TF_15m},36,0.0043547188918646625,0.0016687402779210331,0.043360946866501125
%-adx-period_50_{BTC_INF}_4h,37,0.004320470700252904,0.0028267269695895847,0.016759851897138734
%-roc-period_50_shift-2_{BTC_INF}_4h,37,0.004317829809364271,0.0030376531945027468,0.013518032103187985
%-ema-period_50_{BTC_INF}_4h,37,0.0043099236754132264,0.0020660380762226502,0.03736472498389112
%-ema-period_20_{TF_4h},36,0.0042997561410175415,0.0014365781986134124,0.05253274412228141
%-sma-period_50_shift-2_{BTC_INF}_1h,37,0.004268536836700922,0.0008797966628610839,0.05746199091388366
%-relative_volume-period_10_shift-2_{BTC_INF}_4h,37,0.004115059548721038,0.003038236046359773,0.012406340559592442
%-adx-period_20_{TF_4h},36,0.004072537807873474,0.0017222972548487333,0.02461091551055704
%-bb_width-period_20_{TF_1h},36,0.004065782261442629,0.0025814918956579436,0.016100256476151695
%-adx-period_50_shift-1_{TF_4h},36,0.004027898652972582,0.0009312857709747543,0.0818305422342131
%-sma-period_50_shift-2_{TF_4h},36,0.0039818737686269125,0.0009786117082904182,0.05450669173439758
%-adx-period_20_{TF_15m},36,0.003935524065319909,0.002926993989190874,0.01670907354263862
%-ema-period_50_{TF_1h},36,0.003911957234041707,0.000816872381794609,0.030295834748156118
%-adx-period_20_{BTC_INF}_15m,37,0.0038967631509349947,0.002520679560747409,0.023138623645060412
%-bb_pct-period_50_shift-1_{TF_4h},36,0.0038447466811971434,0.001106589522405175,0.07525172771830356
%-adx-period_50_shift-2_{TF_4h},36,0.0038351093022895863,0.002195802931857757,0.02636577422568245
%-atr_gen_{BTC_INF}_4h,37,0.0037722045357842494,0.0018812280284342914,0.02988011239472579
%-hour_of_day,37,0.0037064398490142597,0.002773005973777912,0.015767828145260142
%-roc-period_20_shift-2_{BTC_INF}_4h,37,0.003682985838500788,0.0015309268826214535,0.06230171312397519
%-roc-period_50_{TF_4h},36,0.003643580318163843,0.001998249305293539,0.01576638808866468
%-bb_width-period_50_shift-2_{TF_4h},36,0.0036276269202725566,0.002904977657762764,0.011250697450746076
%-ema-period_10_{TF_15m},36,0.0035592038166486137,0.0019627267073279503,0.014992507096767412
%-sma-period_20_{TF_1h},36,0.0034541487698669087,0.0011209709726662728,0.03594798596526122
%-sma-period_10_shift-2_{BTC_INF}_1h,37,0.0033958610127158653,0.0004414568559074655,0.025348505303945893
%-price_position_gen_{TF_15m},36,0.003390236726510892,0.002794870782074544,0.0143448140103671
%-adx-period_20_{BTC_INF}_1h,37,0.0033874722299002003,0.0028008177122193795,0.010631091505348713
%-bb_pct-period_20_{TF_15m},36,0.0033726280934856957,0.0031281628551419307,0.008381752978942097
%-roc-period_50_{BTC_INF}_4h,37,0.0033403388946398604,0.0021642799011623746,0.015370728687846575
%-roc-period_20_shift-2_{TF_4h},36,0.0033393677697291053,0.0022262799201516743,0.016186665143636342
%-relative_volume-period_10_{BTC_INF}_4h,37,0.003334165787698058,0.0015680389791955921,0.026506750090092974
%-macd_hist_gen_{TF_4h},36,0.003316262989808223,0.0017041226233215359,0.023107033012330448
%-bb_width-period_10_shift-1_{TF_4h},36,0.003304745590666184,0.002303283173170241,0.01164436853881273
%-rsi-period_10_shift-2_{TF_4h},36,0.003299612399398012,0.0008279623937230489,0.06940539981120843
%-bb_pct-period_50_{TF_4h},36,0.0032951729710172153,0.0019327529374508932,0.04020474281959278
%-sma-period_10_{BTC_INF}_4h,37,0.0032758019786943695,0.0005900446555360389,0.04744055654691543
%-atr_gen_{TF_4h},36,0.0032550926559603557,0.0024369612696828777,0.02154873801689932
%-atr_gen_shift-1_{TF_4h},36,0.003249728416707212,0.0025460639421618627,0.015079936017343509
%-price_position_gen_shift-2_{TF_4h},36,0.003234338864864174,0.0016140147398591843,0.01809638423270213
%-bb_pct-period_10_{TF_15m},36,0.003233482873789583,0.0031761661685954555,0.005112120848099968
%-macd_gen_{TF_1h},36,0.0032334617027316385,0.001827770519566234,0.03045117831571496
%-rsi-period_50_{TF_4h},36,0.003229478071976852,0.002079564979724922,0.019443903383766666
%-adx-period_50_shift-2_{TF_1h},36,0.0032290154672604686,0.0019116532637354841,0.02340948268038982
%-macd_signal_gen_shift-2_{BTC_INF}_1h,37,0.0032065330880797,0.0022499476205400464,0.025652563454445044
%-bb_width-period_20_shift-1_{TF_4h},36,0.0031909669228898994,0.002260729963272593,0.014066176511517457
%-adx-period_20_shift-2_{BTC_INF}_4h,37,0.0031883964835459425,0.0021900937928755163,0.012374772207942175
%-relative_volume-period_20_shift-1_{TF_4h},36,0.0031843655974120254,0.0022002112278941438,0.015441755947571714
%-roc-period_10_shift-1_{TF_4h},36,0.003177520355618942,0.002084284387653225,0.031841413911471356
%-adx-period_50_shift-1_{BTC_INF}_4h,37,0.0031746580194143836,0.0015467880246456485,0.024338364940511358
%-rsi-period_50_{BTC_INF}_4h,37,0.003153391448069876,0.002193973881631451,0.016864517581212417
%-bb_width-period_20_shift-2_{TF_1h},36,0.0031360129576380427,0.003244159335069907,0.01542426325966016
%-adx-period_10_{TF_1h},36,0.003061819346969148,0.002476164487907427,0.007727127238412387
%-price_position_gen_{TF_1h},36,0.003057335045790798,0.0022544135840034552,0.011060463882705348
%-relative_volume-period_10_{TF_4h},36,0.0030561356634818586,0.001556038803405554,0.022843210704808686
%-adx-period_10_shift-2_{BTC_INF}_1h,37,0.0030203854145405126,0.0019236998590924394,0.012387106014409842
%-bb_width-period_50_shift-1_{TF_4h},36,0.003015255666286355,0.002063552320958467,0.010503071647913507
%-macd_signal_gen_shift-1_{TF_4h},36,0.0030151176830009205,0.0010287542019947087,0.0517470772741132
%-macd_hist_gen_shift-2_{TF_4h},36,0.003014665511123735,0.0019151962447713886,0.01491462886861139
%-adx-period_50_shift-2_{BTC_INF}_1h,37,0.0030101520950084238,0.0020195135848729176,0.02039215600399319
%-bb_width-period_20_shift-1_{BTC_INF}_4h,37,0.0030017112615524934,0.0020049787874720643,0.013434722351745093
%-bb_pct-period_10_shift-2_{BTC_INF}_4h,37,0.002982978754192901,0.0018006475305966648,0.019005723914442562
%-bb_width-period_20_shift-1_{TF_1h},36,0.002981386415847235,0.0015894447894485519,0.023116979373647407
%-adx-period_20_shift-2_{TF_1h},36,0.0029796304945562003,0.0025483161252832275,0.00926085691039432
%-roc-period_10_shift-1_{BTC_INF}_4h,37,0.0029636819199857557,0.001587997093956387,0.023073790560120475
%-macd_hist_gen_shift-2_{BTC_INF}_4h,37,0.0029338113028326085,0.002201484322097786,0.009871623578150716
%-roc-period_20_{BTC_INF}_4h,37,0.002906751185406641,0.0017049959120094826,0.013807104007251644
%-macd_hist_gen_shift-1_{TF_4h},36,0.0028752286087220477,0.001194458340250382,0.01910430052387947
%-rsi-period_20_{TF_4h},36,0.0028617473425495087,0.0017188367619246172,0.0119680803275817
%-ema-period_20_{TF_15m},36,0.0028541540769126193,0.0005648065372530332,0.03972805437324037
%-bb_width-period_50_{BTC_INF}_15m,37,0.002852008556928542,0.0012199980141700676,0.02151629193170536
%-adx-period_20_shift-2_{TF_4h},36,0.002851776763449903,0.001720910825793879,0.013174873451505642
%-roc-period_10_shift-2_{TF_4h},36,0.0028296920539094936,0.0017255703160286996,0.01420379691513905
%-roc-period_50_{TF_1h},36,0.0028194338624782755,0.002077780217635208,0.01277851760898677
